name,ring,quadrant,isNew,description
Tech Radar,"1 - Adopt",Techniques,TRUE,"Being able to map out assessment, trialling, adoption and retirement phases of technologies within an organisation provides clarity for teams.
Knowing when to invest time in learning or using a technology is valuable and prevents multiple teams researching solutions to the same problem when it may already be on the radar."
Java 11,"1 - Adopt",Languages-and-frameworks,TRUE,"Java 11 is the LTS version of Java that will be supported until Septermber 2026.
This is the best version to ensure business continuity and timely security updates."
Docker,"1 - Adopt",Platforms,TRUE,Containers provide the means for reliable configuration isolated from other services.
Dependency security scanning,"1 - Adopt",Techniques,FALSE,"Java programs have a plethora of dependencies, scanning via tools such as <a href=""https://owasp.org/www-project-dependency-check/"">OWASP's Depdency Check</a> allow for the hierarchy to be scanned and mapped to existing CVEs (Common Vulnerabilities and Exposures)."
Karate,"2 - Trial",Tools,FALSE,"Cucumber tests have proven their worth in the arena of acceptance level tests, <a href=""https://intuit.github.io/karate/"">Karate</a> provides a REST specific DSL in the same style as cucumber.
Specifically Karate allows you to test verbage, status codes, headers and much more in your REST APIs to ensure your contract has not regressed and is performing as expected."
Service Mesh,"3 - Assess",Techniques,TRUE,"A service mesh such as Consul can assist with service discoverability and cross cutting concerns
"
Puppet,"3 - Assess",Platforms,FALSE,"Idempotent and read-only containerisation has reduced the need to active configuration management through tools such as puppet.
The overhead and complexity of managing depedencies and state across a system with multiple purposes outweighs the benefits.
Puppet still has a place for legacy systems that need migrating to micro-services and/or containers.
"
Java 8,"3 - Assess",Languages-and-frameworks,FALSE,Java 8 has been end of life since January 2019 and no longer recieves security updates.
Docker-Compopse,"3 - Assess",Tools,FALSE,"Using docker-compose allows you to orchestrate all your containers via a single configuration, this lends itself to reduced external port mappings as docker compose supports internal docker networks allowing services to communicate internally without needing to open external ports."
Container security scanning,"3 - Assess",Techniques,TRUE,"<p>The continued adoption of containers for deployments, especially <a href=""https://www.thoughtworks.com/radar/platforms/docker"">Docker</a>, has made <strong>container security scanning</strong> a must-have technique and we've moved this technique into Adopt to reflect that. Specifically, containers introduced a new path for security issues; it's vital that you use tools to scan and check containers during deployment. We prefer using automated scanning tools that run as part of the deployment pipeline.</p>"
Virtual Machine per Service,"4 - Hold",Techniques,FALSE,"Dedicating an entire virtual machine to a single service has proven to be more secure that co-hosting multiple services on one machine but also more resource intensive.
Where possible it is recommended to use containerisation to better isolate and utilise resources."
Traefik,"3 - Assess",Tools,TRUE,"A reverse proxy/gateway is vitally important for secure and accessible services.
In a world of scalable and transient services Traefik's auto discovery via labels massively reduces the overhead of managing your service discoverability.
Optional support for TLS can also provide seamless security for new services, reducing deployment time considerably.
"
Java 6,"4 - Hold",Languages-and-frameworks,FALSE,"Java 6 has been end of life since February 2013, no longer recieves security updates and lacks many modern functional features."
Bookstack,"2 - Trial",Tools,TRUE,"Good documentation can save large amounts of time and improve onboarding of new team members.
Bookstack provides persistent storage of documentation via a MySQL database (allowing for easy backups).
It also provides rich editing functions and a markdown editor too.
The ability to organise your documentation into pages, chapters, books and shelves provides a better organisational hierarchy than many wikis. Search is also provided as well as tagging to allow for more targeted discovery.
Being self-hosted also means you retain control over your data."
Secrets as a Service,"3 - Assess",Techniques,TRUE,"Secrets as a Service enables you to decouple your service and configuration from your valuable secrets.
No longer do you need to worrry about committing valuable secrets to source control.
Services such as <a href=""https://www.vaultproject.io/"">Vault</a> allow fine grained control of permissions that are only provided at runtime."
HTTP2,"3 - Assess",Platforms,TRUE,"HTTP2 brings speed and security benefits to the web.
It requires HTTPS to function fully so it does somewhat rely on the adoption of TLS via LetsEncrypt"
Lombok,"2 - Trial",Tools,TRUE,"<a href=""https://projectlombok.org/"">Lombok</a> allows post compile generation of common Java bean boilerplate; getters, setters, constructors, equals. toString, hashcode and builders.
This reduces the size of your Java source files, removes boilerplate, reduces manual errors and increases readability of your code.
Now that Lombok plays well with code coverage tooling its convenience no longer comes with the drawback of coverage issues.
"
